날짜,종가,시가,고가,저가,거래량,변동 %
2023- 03- 15,626.5,623.75,629.0,619.25,156.41K,-0.16%
2021- 11- 26,586.75,571.5,588.0,566.75,180.22K,1.21%
2024- 05- 31,446.25,449.0,453.75,445.5,174.86K,-0.56%
2022- 10- 11,693.0,697.0,702.0,690.75,140.43K,-0.75%
2022- 11- 30,662.0,665.75,667.0,660.0,18.20K,-0.56%
2023- 03- 06,637.0,639.0,640.25,634.0,110.48K,-1.28%
2022- 11- 16,665.25,665.25,666.0,657.5,121.44K,-0.22%
2023- 08- 09,481.0,485.75,490.0,479.0,120.22K,-0.98%
2022- 07- 08,778.25,750.75,781.0,744.0,,4.18%
2024- 04- 22,439.75,432.25,441.0,431.0,192.56K,-0.73%
2022- 10- 03,680.75,680.0,687.5,672.5,132.39K,0.48%
2024- 04- 16,431.0,431.25,432.25,428.5,148.12K,-0.12%
2022- 05- 05,803.75,799.75,804.75,796.0,0.41K,0.66%
2022- 11- 23,663.25,657.75,663.75,655.75,104.57K,0.99%
2023- 11- 15,488.5,493.75,496.5,485.0,188.61K,2.14%
2021- 11- 10,569.25,555.5,571.75,555.0,209.27K,2.61%
2024- 03- 07,426.0,418.25,427.5,418.25,1.65K,1.91%
2023- 12- 13,456.75,462.5,462.5,455.0,0.26K,-1.24%
2021- 10- 01,541.5,536.75,545.25,532.0,135.60K,0.88%
2023- 05- 04,646.5,642.25,649.5,637.5,2.27K,0.19%
2021- 03- 25,546.5,552.25,552.5,541.5,142.18K,-1.22%
2022- 09- 19,678.25,675.75,680.0,668.25,96.69K,0.15%
2021- 05- 31,666.88,666.88,666.88,666.88,,1.54%
2023- 11- 03,477.25,470.0,481.25,468.0,200.22K,1.54%
2024- 11- 05,418.5,416.25,419.75,415.25,167.93K,0.48%
2022- 11- 03,679.25,686.0,686.5,678.5,123.35K,-1.20%
2025- 01- 16,474.5,478.75,479.0,473.25,209.82K,-0.89%
2023- 10- 18,492.0,488.5,494.0,488.5,119.27K,0.61%
2024- 06- 04,442.5,442.5,448.25,440.0,221.27K,-0.23%
2024- 10- 16,404.75,401.25,406.75,401.0,214.29K,0.87%
2023- 08- 04,484.25,482.5,493.5,480.25,96.91K,0.73%
2022- 06- 09,773.0,764.5,782.75,758.0,226.33K,1.11%
2025- 03- 03,456.25,469.75,472.75,454.5,353.21K,-2.82%
2024- 12- 24,448.5,447.25,448.75,446.75,88.15K,0.17%
2023- 06- 29,581.0,591.75,603.5,574.0,42.59K,-1.53%
2025- 02- 03,488.75,476.75,491.0,472.5,322.17K,1.40%
2022- 05- 12,813.5,802.5,814.0,798.75,0.91K,1.40%
2021- 07- 19,556.0,570.0,571.5,548.75,67.34K,0.00%
2023- 11- 10,464.0,468.0,469.0,461.75,230.54K,-0.85%
2023- 06- 28,590.0,625.0,630.75,582.0,89.62K,-5.30%
2021- 07- 09,629.75,640.75,643.5,620.0,0.53K,-1.29%
2023- 08- 22,466.5,469.25,472.5,461.0,72.98K,-0.59%
2021- 08- 02,558.75,547.25,559.25,540.25,83.84K,2.15%
2024- 02- 08,433.25,434.5,437.0,429.75,222.88K,-0.23%
2022- 03- 30,738.0,727.0,748.75,726.75,109.72K,1.62%
2022- 04- 27,815.5,802.75,820.25,797.5,70.67K,1.53%
2021- 06- 28,675.5,637.75,676.5,636.75,83.83K,6.13%
2022- 08- 16,611.0,624.0,628.25,608.0,67.19K,-2.51%
2023- 10- 05,497.5,486.0,498.5,482.5,186.34K,2.37%
2024- 02- 06,438.75,442.75,445.5,438.25,193.36K,-0.90%
2022- 03- 04,756.5,761.75,800.0,741.0,2.19K,0.70%
2025- 01- 09,456.0,454.0,457.25,453.5,157.71K,0.44%
2023- 07- 13,593.5,547.5,593.75,547.5,0.13K,7.96%
2024- 11- 25,433.0,434.75,435.75,431.75,271.40K,-0.52%
2021- 07- 15,564.25,568.5,571.5,561.0,69.36K,-17.39%
2024- 03- 11,428.25,421.75,428.5,419.75,0.62K,0.47%
2022- 04- 15,791.0,791.0,791.0,791.0,,0.09%
2023- 05- 10,645.5,642.0,649.75,637.25,1.07K,0.51%
2023- 08- 31,461.0,461.75,468.0,459.0,12.07K,-0.16%
2021- 09- 02,516.25,515.5,521.0,510.0,1.32K,0.15%
2024- 07- 19,404.75,405.0,410.75,404.0,113.81K,-0.06%
2023- 03- 10,624.25,620.0,626.75,618.5,0.54K,2.09%
2022- 08- 19,626.0,619.0,627.75,616.0,51.22K,1.01%
2024- 10- 30,411.5,413.25,414.25,411.0,170.09K,-0.54%
2022- 07- 19,596.75,610.5,611.0,585.75,94.16K,-2.53%
2022- 04- 07,757.75,755.75,759.25,748.5,149.46K,0.17%
2023- 03- 27,648.25,643.0,648.75,637.0,145.57K,0.82%
2023- 06- 08,610.25,600.0,613.25,595.25,178.77K,0.99%
2023- 12- 11,460.5,465.5,466.25,461.0,0.38K,-1.13%
2023- 11- 27,475.25,483.25,485.0,473.0,211.13K,-1.50%
2024- 03- 27,426.75,432.0,432.25,426.25,165.19K,-1.33%
2023- 12- 14,456.75,459.0,460.0,456.75,0.01K,0.00%
2023- 03- 02,637.75,641.0,647.25,636.0,1.87K,-0.43%
2022- 12- 21,662.25,651.5,663.0,651.0,125.59K,1.57%
2021- 02- 14,539.5,539.5,539.5,539.5,,0.14%
2024- 09- 23,413.5,401.5,414.25,401.25,228.07K,2.92%
2021- 08- 18,561.75,559.0,563.5,556.5,64.05K,0.63%
2022- 01- 11,601.0,599.75,604.75,598.0,128.31K,0.21%
2021- 11- 08,551.5,552.0,554.75,549.5,166.98K,-0.27%
2023- 12- 07,468.25,465.0,469.25,465.0,0.32K,0.75%
2020- 12- 31,484.0,474.0,485.75,473.0,168.46K,2.00%
2022- 10- 21,684.25,683.5,688.0,677.75,109.02K,0.04%
2025- 02- 25,494.25,497.5,498.5,488.5,233.37K,-0.55%
2024- 08- 13,397.25,401.0,403.0,395.25,212.08K,-1.06%
2024- 04- 15,431.5,434.5,435.0,430.25,152.25K,-0.92%
2022- 04- 26,803.25,800.25,812.25,795.0,85.31K,0.37%
