"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 04- 04","3.824","4.148","4.151","3.811","223.84K","-7.59%"
"2025- 04- 03","4.138","4.011","4.203","3.968","165.41K","2.05%"
"2025- 04- 02","4.055","3.950","4.089","3.935","141.24K","2.63%"
"2025- 04- 01","3.951","4.132","4.148","3.934","156.69K","-4.08%"
"2025- 03- 31","4.119","4.176","4.253","4.055","171.86K","1.33%"
"2025- 03- 28","4.065","3.915","4.100","3.836","176.36K","2.91%"
"2025- 03- 27","3.950","3.859","4.016","3.689","5.09K","2.31%"
"2025- 03- 26","3.861","3.866","3.930","3.813","52.75K","0.55%"
"2025- 03- 25","3.840","3.909","3.990","3.796","50.29K","-1.89%"
"2025- 03- 24","3.914","3.880","4.012","3.862","78.99K","-2.73%"
"2025- 03- 21","4.024","4.035","4.089","3.931","118.07K","-0.35%"
"2025- 03- 20","4.038","4.280","4.312","4.027","141.55K","-6.38%"
"2025- 03- 19","4.313","4.110","4.322","4.102","113.39K","4.96%"
"2025- 03- 18","4.109","4.073","4.185","4.041","95.98K","0.56%"
"2025- 03- 17","4.086","4.187","4.278","4.046","88.75K","-0.44%"
"2025- 03- 14","4.104","4.040","4.141","3.962","144.41K","-0.17%"
"2025- 03- 13","4.111","4.032","4.195","3.955","227.07K","0.66%"
"2025- 03- 12","4.084","4.346","4.379","4.029","224.05K","-8.29%"
"2025- 03- 11","4.453","4.461","4.588","4.334","192.16K","-0.85%"
"2025- 03- 10","4.491","4.467","4.901","4.447","221.48K","2.09%"
"2025- 03- 07","4.399","4.286","4.426","4.132","211.90K","2.25%"
"2025- 03- 06","4.302","4.466","4.471","4.254","202.48K","-3.33%"
"2025- 03- 05","4.450","4.317","4.518","4.227","224.57K","2.30%"
"2025- 03- 04","4.350","4.168","4.551","4.056","350.51K","5.53%"
"2025- 03- 03","4.122","3.779","4.173","3.742","269.84K","7.51%"
"2025- 02- 28","3.834","3.939","3.954","3.814","141.99K","-2.54%"
"2025- 02- 27","3.934","3.966","4.065","3.878","171.40K","0.72%"
"2025- 02- 26","3.906","4.130","4.212","3.860","2.24K","-6.42%"
"2025- 02- 25","4.174","3.987","4.186","3.935","91.53K","4.51%"
